DigitalOrderItemId,DeliveryPacketId,AffectedItemQuantity,TransactionAmount,BaseCurrencyCode,ClaimCode,FXTransactionAmount,FXCurrencyCode,MonetaryComponentTypeCode,OfferTypeCode
P6D587V944L2DMSDHAVIL1L9003NT4FJNBUB3EFDE1HIPRJFACNG,46V55CMPNFBT5KBE9FR3U4UQF0G8P6UQHJF419S47HQ4L3CVA6K0,1,1.86,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
P6D587V944L2DMSDHAVIL1L9003NT4FJNBUB3EFDE1HIPRJFACNG,46V55CMPNFBT5KBE9FR3U4UQF0G8P6UQHJF419S47HQ4L3CVA6K0,1,-4.5,USD,T0AWKI61YO7WPZAR,Not Applicable,Not Applicable,Price Amount,Coupon
P6D587V944L2DMSDHAVIL1L9003NT4FJNBUB3EFDE1HIPRJFACNG,46V55CMPNFBT5KBE9FR3U4UQF0G8P6UQHJF419S47HQ4L3CVA6K0,1,0.0,USD,T0AWKI61YO7WPZAR,Not Applicable,Not Applicable,Tax,Coupon
P6D587V944L2DMSDHAVIL1L9003NT4FJNBUB3EFDE1HIPRJFACNG,46V55CMPNFBT5KBE9FR3U4UQF0G8P6UQHJF419S47HQ4L3CVA6K0,1,29.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
P6D587V944L2DMSDHAVIL1L9003NT4FJNBUB3EFDE1HIPRJFACNG,46V55CMPNFBT5KBE9FR3U4UQF0G8P6UQHJF419S47HQ4L3CVA6K0,1,-3.0,USD,T0O0ASGBKBPBQDAK,Not Applicable,Not Applicable,Price Amount,Coupon
P6D587V944L2DMSDHAVIL1L9003NT4FJNBUB3EFDE1HIPRJFACNG,46V55CMPNFBT5KBE9FR3U4UQF0G8P6UQHJF419S47HQ4L3CVA6K0,1,0.0,USD,T0O0ASGBKBPBQDAK,Not Applicable,Not Applicable,Tax,Coupon
7DSB092I7ONDBFUHNAU8QSVD8LIHI1PIVCFN767DMES02PAMLTEG,3VGGVDN3RG0FMS0NU4K4NQF56EPTKAOFSTQ3MVVQ7OV181232PV0,1,-1.5,USD,T0WGTPQ1HEC8CIAZ,Not Applicable,Not Applicable,Price Amount,Coupon
7DSB092I7ONDBFUHNAU8QSVD8LIHI1PIVCFN767DMES02PAMLTEG,3VGGVDN3RG0FMS0NU4K4NQF56EPTKAOFSTQ3MVVQ7OV181232PV0,1,5.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
7DSB092I7ONDBFUHNAU8QSVD8LIHI1PIVCFN767DMES02PAMLTEG,3VGGVDN3RG0FMS0NU4K4NQF56EPTKAOFSTQ3MVVQ7OV181232PV0,1,0.0,USD,T0WGTPQ1HEC8CIAZ,Not Applicable,Not Applicable,Tax,Coupon
7DSB092I7ONDBFUHNAU8QSVD8LIHI1PIVCFN767DMES02PAMLTEG,3VGGVDN3RG0FMS0NU4K4NQF56EPTKAOFSTQ3MVVQ7OV181232PV0,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
7DSB092I7ONDBFUHNAU8QSVD8LIHI1PIVCFN767DMES02PAMLTEG,3VGGVDN3RG0FMS0NU4K4NQF56EPTKAOFSTQ3MVVQ7OV181232PV0,1,0.0,USD,T033XOA6HZ6EKYA8,Not Applicable,Not Applicable,Tax,Coupon
7DSB092I7ONDBFUHNAU8QSVD8LIHI1PIVCFN767DMES02PAMLTEG,3VGGVDN3RG0FMS0NU4K4NQF56EPTKAOFSTQ3MVVQ7OV181232PV0,1,-3.0,USD,T0CWXRQT86I2FAA7,Not Applicable,Not Applicable,Price Amount,Coupon
7DSB092I7ONDBFUHNAU8QSVD8LIHI1PIVCFN767DMES02PAMLTEG,3VGGVDN3RG0FMS0NU4K4NQF56EPTKAOFSTQ3MVVQ7OV181232PV0,1,-1.49,USD,T033XOA6HZ6EKYA8,Not Applicable,Not Applicable,Price Amount,Coupon
7DSB092I7ONDBFUHNAU8QSVD8LIHI1PIVCFN767DMES02PAMLTEG,3VGGVDN3RG0FMS0NU4K4NQF56EPTKAOFSTQ3MVVQ7OV181232PV0,1,0.0,USD,T0CWXRQT86I2FAA7,Not Applicable,Not Applicable,Tax,Coupon
R8TEIFP9AR0CJ7PSQH83HFHTB8748OHPGESITTS7R6RM4U30DRS0,2U7N31OK2HS3S66LHHIQ1651JUS4G4OR59SUA476RAAI0SODPKEG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
R8TEIFP9AR0CJ7PSQH83HFHTB8748OHPGESITTS7R6RM4U30DRS0,2U7N31OK2HS3S66LHHIQ1651JUS4G4OR59SUA476RAAI0SODPKEG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
NABDGMESBJHKCVG9GIDBE84K2EEK7CG86M2UDLVBBOMVRPI2EHGG,FCIPI77I7TH13B5SHI67O5UDQVEFQ6GE6ECICCTJ1FO63DT0IBRG,1,7.99,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
NABDGMESBJHKCVG9GIDBE84K2EEK7CG86M2UDLVBBOMVRPI2EHGG,FCIPI77I7TH13B5SHI67O5UDQVEFQ6GE6ECICCTJ1FO63DT0IBRG,1,0.0,USD,T0NGIDHWRFMQNZAA,Not Applicable,Not Applicable,Tax,Coupon
NABDGMESBJHKCVG9GIDBE84K2EEK7CG86M2UDLVBBOMVRPI2EHGG,FCIPI77I7TH13B5SHI67O5UDQVEFQ6GE6ECICCTJ1FO63DT0IBRG,1,0.49,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
NABDGMESBJHKCVG9GIDBE84K2EEK7CG86M2UDLVBBOMVRPI2EHGG,FCIPI77I7TH13B5SHI67O5UDQVEFQ6GE6ECICCTJ1FO63DT0IBRG,1,-2.0,USD,T0NGIDHWRFMQNZAA,Not Applicable,Not Applicable,Price Amount,Coupon
9OQROREJDM1CAOTIJG9KQ7R2KJ45FFEHPL75LEKKTR588HR0VVUG,PMJS4CMVIE0M5DR1D0PT47EKR5F37BCBFSDV7EKEK630JD2K7PUG,1,0.0,USD,Not Applicable,Not Applicable,Not Applicable,Tax,Not Applicable
9OQROREJDM1CAOTIJG9KQ7R2KJ45FFEHPL75LEKKTR588HR0VVUG,PMJS4CMVIE0M5DR1D0PT47EKR5F37BCBFSDV7EKEK630JD2K7PUG,1,17.49,USD,Not Applicable,Not Applicable,Not Applicable,Price Amount,Not Applicable
