"OrderId","ContractId","DateOfReturn","ReturnAmount","ReturnAmountCurrency","ReturnReason","Resolution"
"111-0794577-6011419","45a6baf0-22fc-440e-8544-bfff28b838ac","2025-07-26T23:04:25Z","No Refund","Not Available","Performance or quality not adequate","Exchange"
"112-7894503-1349812","8e3eadd9-857b-4743-a850-9262c7022dc1","2025-07-11T07:22:07Z","35.99","USD","Unknown Reason","Refund"
"111-7822976-4049016","f731b3b1-8cbe-40dd-b66e-8bae015b1da2","2025-07-11T07:22:06Z","36.46","USD","Unknown Reason","Refund"
"111-4643168-7765862","ac0df531-b951-47d2-b3f6-6c0688937356","2025-07-11T07:22:05Z","13.58","USD","Unknown Reason","Refund"
"113-1013354-0123440","0803b7f6-ce55-43cb-9de5-78b01d8f21c6","2025-07-11T07:22:04Z","3.15","USD","Unknown Reason","Refund"
"114-8007589-2605852","d0474945-04e9-48f2-8f81-26e51866f940","2025-07-11T07:22:03Z","9.16","USD","Unknown Reason","Refund"
"113-1915846-4109058","d28adb9a-b1a0-4441-ab81-d7ff29e445db","2025-07-11T07:22:02Z","42.89","USD","Unknown Reason","Refund"
"114-9602898-4553039","79aa852e-94b1-44f6-95a5-cafde8f0d176","2025-07-11T07:22:02Z","29.69","USD","Unknown Reason","Refund"
"113-6948182-9157057","8a1d577a-4c1b-4f4e-97b1-9977c573a974","2025-07-11T07:22:01Z","16.22","USD","Unknown Reason","Refund"
"111-3664735-3142650","960f4f3b-b72b-44f5-addb-86603c3c0573","2025-07-11T05:15:09Z","6.80","USD","Unknown Reason","Refund"
"112-2486033-1655410","01ea4477-70db-4009-abd4-b1736db87d06","2025-07-11T05:15:08Z","35.64","USD","Unknown Reason","Refund"
"113-0853107-9365826","d24e833f-0faa-4ae2-a0b8-4b758eee8d82","2025-07-11T05:15:07Z","16.10","USD","Unknown Reason","Refund"
"113-9530814-7583421","fbcaa0d9-2897-4bb2-b44a-c696abdad666","2025-07-11T05:15:07Z","6.73","USD","Unknown Reason","Refund"
"113-4169941-4784237","19819e2c-9b44-41cb-aeda-66d1e7e58557","2025-07-11T05:15:06Z","8.08","USD","Unknown Reason","Refund"
"112-0034658-7418618","0c9e6207-b397-48b5-b594-f0a194f69c63","2025-07-11T05:15:05Z","9.16","USD","Unknown Reason","Refund"
"112-3814137-6190655","f836da04-e839-4c0a-9bab-e5b34dc41234","2025-05-12T17:04:45Z","No Refund","Not Available","Performance or quality not adequate","Exchange"
"112-3013814-1676222","f14d1081-a583-34aa-99cf-c25a1e1c2c88","2025-04-17T21:27:37Z","72.86","USD","Unknown Reason","Refund"
"112-3013814-1676222","f14d1081-a583-34aa-99cf-c25a1e1c2c88","2025-04-17T21:27:37Z","72.86","USD","Unknown Reason","Refund"
"112-3013814-1676222","f14d1081-a583-34aa-99cf-c25a1e1c2c88","2025-04-17T21:27:37Z","72.86","USD","Unknown Reason","Refund"
"112-3013814-1676222","aff435e8-b198-43cc-874f-ba9384c54c79","2025-04-04T19:17:24Z","No Refund","Not Available","Unknown Reason","Refund"
"112-3013814-1676222","aff435e8-b198-43cc-874f-ba9384c54c79","2025-04-04T19:17:24Z","No Refund","Not Available","Unknown Reason","Refund"
"112-3013814-1676222","aff435e8-b198-43cc-874f-ba9384c54c79","2025-04-04T19:17:24Z","No Refund","Not Available","Unknown Reason","Refund"
"112-5793683-5065034","befba0ef-9803-3f1d-b50d-8cff6035be00","2025-03-13T20:06:38Z","42.69","USD","Unknown Reason","Refund"
"111-8171015-7109053","7407746a-4b44-4376-9782-a49f48158146","2025-02-11T00:55:34Z","No Refund","Not Available","Defective/Does not work properly","Exchange"
"112-7996618-0641833","e2df97cd-e49f-479b-a251-8a181572b8cf","2025-01-31T19:02:58Z","No Refund","Not Available","Accidental order","Refund"
"111-3270590-2536216","de30c4f7-083f-4d23-a213-5c97bb4246a1","2025-01-28T22:06:51Z","10.66","USD","Accidental order","Refund"
"112-1415830-0522620","7728a845-2ee5-4e10-9dc8-0fa67be3849c","2025-01-24T21:14:14Z","181.46","USD","No longer needed/wanted","Refund"
"111-4704866-6309842","36e9aeae-8031-4a09-9e56-1d369a6eb487","2025-01-21T22:31:13Z","16.80","USD","Different from website description","Refund"
"111-3270590-2536216","bb4c638c-19b5-4fb0-8bb4-3bf9e93d8809","2025-01-21T17:00:07Z","26.54","USD","Different from website description","Refund"
"111-9135210-7785858","4d4f8d35-70bf-470b-ae95-88fd21764954","2025-01-21T16:54:56Z","20.41","USD","Different from website description","Refund"
"112-7652657-1371437","f0740f25-9696-421e-8d97-48bcf70f2b26","2025-01-02T04:16:50Z","202.77","USD","Accidental order","Refund"
"112-1110453-5154655","09b1ad94-2a72-3593-b126-2b9c7ed08def","2024-12-30T06:11:36Z","22.71","USD","Unknown Reason","Refund"
"112-4814229-1889063","e7942325-309d-34ec-b2ec-b6f747713684","2024-12-27T05:29:59Z","6.80","USD","Unknown Reason","Refund"
"112-3883101-2169827","cad5609c-1cd9-3daa-81d7-04ab32111e8b","2024-12-24T01:12:57Z","28.80","USD","Unknown Reason","Refund"
"112-5046612-7331411","5e17a0c1-e79c-36c8-8ab1-0d2fda67d4f8","2024-12-24T01:12:56Z","72.10","USD","Unknown Reason","Refund"
"112-5046612-7331411","5e17a0c1-e79c-36c8-8ab1-0d2fda67d4f8","2024-12-24T01:12:56Z","72.10","USD","Unknown Reason","Refund"
"112-5046612-7331411","5e17a0c1-e79c-36c8-8ab1-0d2fda67d4f8","2024-12-24T01:12:56Z","72.10","USD","Unknown Reason","Refund"
"114-0484958-5973830","a631a854-3817-3afc-9344-fe758e53ad15","2024-12-23T22:27:36Z","24.48","USD","Unknown Reason","Refund"
"112-5046612-7331411","62ff15e4-0c26-4b13-9f42-5062e4d64f37","2024-12-19T22:56:11Z","No Refund","Not Available","Unknown Reason","Refund"
"112-5046612-7331411","62ff15e4-0c26-4b13-9f42-5062e4d64f37","2024-12-19T22:56:11Z","No Refund","Not Available","Unknown Reason","Refund"
"112-5046612-7331411","62ff15e4-0c26-4b13-9f42-5062e4d64f37","2024-12-19T22:56:11Z","No Refund","Not Available","Unknown Reason","Refund"
"112-5046612-7331411","62ff15e4-0c26-4b13-9f42-5062e4d64f37","2024-12-19T22:56:11Z","No Refund","Not Available","Unknown Reason","Refund"
"112-5046612-7331411","62ff15e4-0c26-4b13-9f42-5062e4d64f37","2024-12-19T22:56:11Z","No Refund","Not Available","Unknown Reason","Refund"
"112-3883101-2169827","b364535f-f3bf-49bb-99de-efa7a0520b35","2024-12-19T22:56:10Z","No Refund","Not Available","Unknown Reason","Refund"
"112-1110453-5154655","74afa652-d69c-42b2-bd1e-d35115baa644","2024-12-19T22:56:08Z","No Refund","Not Available","Unknown Reason","Refund"
"114-0484958-5973830","7cd21027-581c-4b6f-bc62-077ffd8c96bb","2024-12-19T22:56:08Z","No Refund","Not Available","Unknown Reason","Refund"
"112-4814229-1889063","9040fd07-bd5f-41d3-b553-7bf5c7396dde","2024-12-19T22:56:08Z","No Refund","Not Available","Unknown Reason","Refund"
"113-7146672-1732202","9d72c14c-618f-4a45-aaba-2e28025363db","2024-10-16T13:48:48Z","10.51","USD","Unknown Reason","Refund"
"111-7092937-1019420","906b5485-852c-45f6-9440-44e190beb375","2024-10-16T13:48:48Z","10.51","USD","Unknown Reason","Refund"
