Return Authorization Id,Tracking Id,Return Creation Date,Order Id,Return Ship Option,Carrier Package Id,
DvPBzNfJRRMA,1Z030YX69058692929,2025-07-26T23:16:05Z,111-0794577-6011419,LabelLess_UPSDropOff,Not Available,
Dhsj620xRRMA,1ZR094C29007028967,2025-05-12T17:05:55Z,112-3814137-6190655,PackageLess_UPSDropOff,Not Available,
Drg9Rb0xRRMA,1ZJ74F979010253947,2025-02-11T00:56:02Z,111-8171015-7109053,PackageLess_UPSDropOff,Not Available,
DqP7jTL5RRMA,1ZH92F629055017228,2025-01-31T19:03:22Z,112-7996618-0641833,UPS_DropOff,Not Available,
DqmXqGL1RRMA,1Z4435710318494463,2025-01-28T22:07:15Z,111-3270590-2536216,PackageLess_UPSDropOff,C677848FA9D547BFA309CDD3E59AD402,
D2pX5lLmRRMA,1ZH92F629050839699,2025-01-24T21:14:52Z,112-1415830-0522620,UPS_DropOff,Not Available,
Djmh8gLSRRMA,1Z4435710313152206,2025-01-21T17:00:32Z,111-3270590-2536216,PackageLess_UPSDropOff,7337B643CEF648B59F10868B781EE9B1,
DtmD8RLPRRMA,1Z4435710309839581,2025-01-21T16:55:49Z,111-9135210-7785858,PackageLess_UPSDropOff,F8A4284AA3D34551A318F01B0B9A1BFC,
DH9n0cLbRRMA,1Z030YX69047022324,2025-01-02T04:18:36Z,112-7652657-1371437,LabelLess_UPSDropOff,Not Available,
DWTK6HGGRRMA,1ZE910V79062798159,2024-08-20T04:17:01Z,112-8372017-2587408,UPSDropOff,Not Available,
D2LKv1sZRRMA,1Z030R7R0309688954,2024-02-09T17:47:40Z,114-8812198-2022631,PackageLess_UPSDropOff,9911E2CB9A0640048C325CC999C21294,
DfLpv2sqRRMA,1ZE7X1409015864523,2024-02-09T17:46:38Z,114-8812198-2022631,LabelLess_UPSDropOff,Not Available,
D2j6XvrxRRMA,1Z842A8Y9014890997,2023-07-19T20:58:36Z,113-2645582-9095450,UPSDropOff,Not Available,
DpzFsKr8RRMA,1ZE861099002849899,2023-05-08T14:39:33Z,114-4199493-7414601,PackageLess_UPSDropOff,Not Available,
DYTLcLrwRRMA,1Z842A8Y9000560397,2023-05-01T22:03:33Z,114-5241100-5865812,UPSDropOff,Not Available,
DtljbjJPRRMA,1ZE818610391681316,2022-10-07T23:09:48Z,114-9967075-3765028,PackageLess_UPSDropOff,9655B5DD79B042D5B932C5CC7C5592F3,
DWlTbPJPRRMA,1ZE818610391681316,2022-10-07T23:08:35Z,114-2998049-6241822,PackageLess_UPSDropOff,9B33648FAFFC48589963121B92EB78A1,
DKZbrcxbRRMA,1ZE818619050201131,2022-06-12T17:24:01Z,114-7867435-4488221,PackageLess_UPSDropOff,Not Available,
DBcLrKxzRRMA,1ZE818610393206068,2022-06-11T19:57:59Z,114-2218406-9708209,PackageLess_UPSDropOff,Not Available,
DqcwrYxzRRMA,1ZE818610393206068,2022-06-11T19:56:57Z,114-2285776-5712207,PackageLess_UPSDropOff,Not Available,
DFccrnxVRRMA,1ZE818619050075582,2022-06-11T19:55:01Z,114-1642531-9437008,PackageLess_UPSDropOff,Not Available,
DpjFc3xqRRMA,Not Available,2022-05-24T17:12:41Z,114-9006771-6567461,PendingLabelPlan,Not Available,
D4cxgqRyRRMA,1Z9758R99046411927,2022-02-05T18:20:36Z,114-9189914-3168249,LabelLess_UPSDropOff,Not Available,
DpcGgfRBRRMA,1Z9758R99046411098,2022-02-05T18:18:05Z,114-9189914-3168249,LabelLess_UPSDropOff,Not Available,
DFP80TRQRRMA,1ZE818610394574392,2021-12-30T21:22:27Z,114-5088663-8965029,PackageLess_UPSDropOff,Not Available,
D7sqsBRDRRMA,1Z9758R99028254926,2021-10-22T15:02:10Z,114-0979208-0406603,LabelLess_UPSDropOff,Not Available,
Df3ncYRNRRMA,1Z9758R99027203572,2021-10-15T22:29:48Z,114-0106693-7242677,LabelLess_UPSDropOff,Not Available,
DfTwcwRyRRMA,1Z9758R99026860775,2021-10-13T21:08:44Z,114-9416760-1465809,LabelLess_UPSDropOff,Not Available,
DfHPzbRkRRMA,1Z9X538R9096792356 1Z9X538R9098226366,2021-10-04T01:11:39Z,114-2196108-6567454,CustomSellerOption,Not Available,
DpRNV2RVRRMA,1Z53Y6V00399282701,2021-09-27T20:14:05Z,114-5107881-1748242,PackageLess_UPSDropOff,Not Available,
D8R6VQRFRRMA,1Z9758R99024223770,2021-09-27T20:11:17Z,114-1883807-3614636,LabelLess_UPSDropOff,Not Available,
DK7SmFpkRRMA,Not Available,2021-05-08T22:00:06Z,111-2588396-5354620,CustomSellerOption,Not Available,
