"Contract Unit Id","Order Id","Return Receivable Tracking ID","Return Receivable State","Return Receivable Creation Reason","Return Receivable Initiation Date"
"45a6baf0-22fc-440e-8544-bfff28b838ac#2998534f-65fb-43c0-a670-d37af59da26d","111-0794577-6011419","45706810481","Waiting","ReplacementOrder","2025-07-26T23:16:08.584Z"
"0c9e6207-b397-48b5-b594-f0a194f69c63#71b9d6f4-29b2-4545-b252-0a43013eaebb","112-0034658-7418618","45274674341","Expired","AdvancedRefund","2025-07-14T05:56:55.752Z"
"19819e2c-9b44-41cb-aeda-66d1e7e58557#63766b61-3567-4e08-b63c-8b2d5a1490ef","113-4169941-4784237","45274663111","Expired","AdvancedRefund","2025-07-14T05:40:23.889Z"
"fbcaa0d9-2897-4bb2-b44a-c696abdad666#40798b62-5170-4ff6-a127-3508538b9723","113-9530814-7583421","45274590531","Expired","AdvancedRefund","2025-07-14T05:28:57.955Z"
"960f4f3b-b72b-44f5-addb-86603c3c0573#ca145cb8-e898-46a9-ab43-93f69a56068e","111-3664735-3142650","45274573881","Expired","AdvancedRefund","2025-07-14T05:23:23.146Z"
"01ea4477-70db-4009-abd4-b1736db87d06#681ca8cd-6860-46f2-ab9b-b45d573d1ab1","112-2486033-1655410","45274613271","Closed","AdvancedRefund","2025-07-14T05:21:15.784Z"
"8a1d577a-4c1b-4f4e-97b1-9977c573a974#766282b2-ed91-4d91-9e60-1b3a625990ae","113-6948182-9157057","45255312401","Closed","AdvancedRefund","2025-07-13T08:31:53.539Z"
"d0474945-04e9-48f2-8f81-26e51866f940#32b9dd05-9805-4f31-af54-5517eef4aa9c","114-8007589-2605852","45255257961","Expired","AdvancedRefund","2025-07-13T08:15:03.956Z"
"d28adb9a-b1a0-4441-ab81-d7ff29e445db#efa49f55-d01b-4287-b260-6867c1340bf6","113-1915846-4109058","45255293181","Closed","AdvancedRefund","2025-07-13T08:07:40.621Z"
"f731b3b1-8cbe-40dd-b66e-8bae015b1da2#693e8c80-c76c-4f99-a467-03177a01bde8","111-7822976-4049016","45255219921","Closed","AdvancedRefund","2025-07-13T08:06:46.171Z"
"0803b7f6-ce55-43cb-9de5-78b01d8f21c6#0b217a3f-0a9e-48db-a8e9-83532dbb156c","113-1013354-0123440","45255268531","Closed","AdvancedRefund","2025-07-13T07:58:55.148Z"
"ac0df531-b951-47d2-b3f6-6c0688937356#1b138211-a7e2-466e-8488-ea85095f33ba","111-4643168-7765862","45255280021","Closed","AdvancedRefund","2025-07-13T07:57:18.104Z"
"8e3eadd9-857b-4743-a850-9262c7022dc1#8fafafe6-65cc-4f51-95ed-10d035d76ea4","112-7894503-1349812","45255196471","Waiting","AdvancedRefund","2025-07-13T07:28:19.543Z"
"f836da04-e839-4c0a-9bab-e5b34dc41234#7a08e3de-82ea-4a10-8175-d66b2567a765","112-3814137-6190655","43520973841","Expired","ReplacementOrder","2025-05-12T17:05:58.597Z"
"7407746a-4b44-4376-9782-a49f48158146#07d09e2c-c358-4124-8073-bbb95a176e67","111-8171015-7109053","41332740931","Expired","ReplacementOrder","2025-02-11T00:56:06.913Z"
"de30c4f7-083f-4d23-a213-5c97bb4246a1#f762ccee-967b-4c8d-9814-573619c2175c","111-3270590-2536216","40991505171","Closed","AdvancedRefund","2025-01-28T22:09:28.311Z"
"4d4f8d35-70bf-470b-ae95-88fd21764954#2a5d6686-aa90-490c-a7c8-c58126afd0d7","111-9135210-7785858","40991358841","Closed","AdvancedRefund","2025-01-28T22:07:19.835Z"
"bb4c638c-19b5-4fb0-8bb4-3bf9e93d8809#df2210cd-f061-446a-9425-2812336ea834","111-3270590-2536216","40991372171","Closed","AdvancedRefund","2025-01-28T22:06:35.002Z"
"f0740f25-9696-421e-8d97-48bcf70f2b26#f37c0bb9-5157-48f9-894d-edb5513f0bd9","112-7652657-1371437","40555088251","Closed","AdvancedRefund","2025-01-12T18:05:10.367Z"
"d0c4a00c-868f-4ee0-aa3d-a8fcc3216920#38a731f0-f9c0-4e46-8da7-9c0af21aa973","112-2565788-0415436","36881030641","Expired","AdvancedRefund","2024-10-18T14:28:27.374Z"
"9d72c14c-618f-4a45-aaba-2e28025363db#405ba85f-cd46-4081-9367-ca3abc46005f","113-7146672-1732202","36881037061","Expired","AdvancedRefund","2024-10-18T14:27:55.690Z"
"906b5485-852c-45f6-9440-44e190beb375#c09d8fac-0fdf-4830-b4f5-4205339e3652","111-7092937-1019420","36880259451","Expired","AdvancedRefund","2024-10-18T13:52:52.132Z"
"7d920110-a8cb-49dd-80ab-2cf606762102#bbc0ce8d-91e9-43a9-a522-0ee4e8ea27b7","112-6662253-7303428","36102115261","Expired","AdvancedRefund","2024-09-15T17:57:41.094Z"
"7d920110-a8cb-49dd-80ab-2cf606762102#845c99b3-0f05-4675-a187-d4b343e8ab3d","112-6662253-7303428","36102115251","Expired","AdvancedRefund","2024-09-15T17:57:40.935Z"
"7d920110-a8cb-49dd-80ab-2cf606762102#60918f3e-19f7-4629-a9a6-3c3cc7c7eec2","112-6662253-7303428","36102115241","Expired","AdvancedRefund","2024-09-15T17:57:40.760Z"
"09e8fd4c-f71a-4f05-aeaa-78757a5c07f6#aa8a60cc-697f-465a-be67-9c9aaada7007","112-8372017-2587408","35755983091","Closed","AdvancedRefund","2024-08-31T15:34:46.818Z"
"7e975ed8-7e83-41a8-9ed8-8ae73b07b2ab#be710894-5759-4869-9d69-1be6063764c5","112-2674729-8025828","34653741991","Expired","AdvancedRefund","2024-07-19T02:41:22.643Z"
"20036b03-5532-4eb8-b1c8-f51a401a6b83#dd691324-bfe2-496b-8d6f-9d2c0c35a462","114-6055824-0117836","34653724681","Expired","AdvancedRefund","2024-07-19T02:36:12.281Z"
