"DateAddedToCart","Source","ASIN","ProductName","CartDomain","CartList","Quantity","OneClickBuyable","ToBeGiftWrapped","PrimeSubscription","Pantry","AddOn"
"2025-08-23T20:32:12.628Z","Retail","B0D6WBKPTP","Bencailor 6 Pairs Microfiber Dusting Gloves, Dusting Cleaning Gloves Microfiber Gloves for Plants House Blinds Car Dust Mitt (Fresh Color,Large) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-08-09T23:37:28.940Z","Retail","B0761X58H3","mDesign Plastic 3-Compartment Bathroom Organizer Storage Bin - Divided Makeup Caddy and Hair/Beauty Product Holder Tray - Perfect for Vanity, Counter, and Cabinet - Lumiere Collection, 2 Pack, Clear [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-07-27T21:08:43.368Z","Retail","B0B13WGFKX","TOPZEA 200 Pack Reusable Ice Cubes, PE Plastic Fruit Shape Ice Cubes for Cocktail, Whiskey, Beverages, to Chill Drinks, Washable Refreezable Ices Cube, Bar Accessories, BPA Free, Assorted Colors [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-07-18T03:39:50.281Z","Retail","B000923524","Under Sink Water Filter for Sink Faucet by CuZn, 5 Year Filtration Life, Reduces PFAs, PFOS, Lead, Chlorine, Improves Taste of Tap Water with NSF/ANSI 42 & 372 Certified High Performance [Product name associated with ASIN]","Not Applicable","saved","2","Yes","No","No","No","No"
"2025-07-12T21:31:54.057Z","Retail","B0DMVXZTVW","Extra Firm Mattress King Size 8 Inch with Tencel Cover, Premier Cooling Green Tea/Gel Memory Foam Mattresses in Box, Dual Side Medium Firm-Mattress for Back Pain, CertiPUR-US,Made in USA,80'' x 76'' [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-07-12T04:24:21.895Z","Retail","B0CY197HFG","Mattress RV King 10 Inch Memory Foam Mattresses with Tencel Cover, Quality Green Tea/Gel Medium Firm Bed-Mattress in a Box for Camper/Trailer/Truck, Body Support, Made in USA 80'' x 72'' [Product name associated with ASIN]","Not Applicable","saved","2","Yes","No","No","No","No"
"2025-07-09T00:54:46.349Z","Retail","B07RTJWFQX","Shinco 7,000 Sq.Ft Energy Star Dehumidifier with Pump and WIFI, Ideal for Large Industrial Rooms and Home Basements, Efficient Moisture Removal and Humidity Control, 1.85 Gallons Water Tank [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-07-03T23:34:25.511Z","Retail","B0DRGCDQTD","COTLIN 15"" W Drainless Under Counter Ice Maker with 22LBS Storage Bin, Crescent Ice, Free Standing Built-in Ice Maker for Residential Commercial Use, No Drain Required, ETL Approved, 2025 Upgraded [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-07-03T21:16:32.725Z","Retail","B0DWMX9WCY","hyxjzh Fly Fans for Tables, Bug Fans with Holographic Blades, Battery Operated Fly Repellent Fan, Keep Flies Away from Picnic, BBQ, Restaurant, Party, Indoor and Outdoor, 4 Pack [Product name associated with ASIN]","Not Applicable","saved","1","No","No","No","No","No"
"2025-06-26T19:25:56.116Z","Retail","B0DQD6KP6T","Y&M Outdoor Side Table, Waterproof Four-Legged Round Entryway End Table, Single-Tier HDPE Modern Small Coffee Nightstand for Bedroom, Living Room, Patio, Indoor or Outdoor Use, Navy Blue [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-06-26T19:16:27.710Z","Retail","B0C6K94LB4","PIZATO HDPE Adirondack Chair Outdoor Fire Pit Lounge Chair Waterproof, Fade-Resistant, Weather-Resistant Composite Lawn Chair with Wood Grain Texture, Suitable for Patio, Garden, Terrace - Navy [Product name associated with ASIN]","Not Applicable","saved","2","No","No","No","No","No"
"2025-06-26T19:10:23.206Z","Retail","B0BFJ82TWZ","baterysu Large Outdoor Solar Lanterns Hanging Light Waterproof LED Garden Lights Solar Powered Retro Metal Auto On Off Table Lamp for Garden Patio Porch Pathway Walkway Tabletop Decorative(Bronze) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-06-26T19:06:32.053Z","Retail","B0C4SM8TLJ","Amiluo Solar Outdoor Lights 304 LED 3000LM Flood Security Lights with Remote, Large Solar Panel Motion Sensor Lights 3 Modes, Waterproof IP67 Wall Lights for Driveway Yard(2 Pack- WarmWhite) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-06-26T15:45:51.237Z","Retail","B075KS2WKR","Pacific Giftware Rustic Silver Octopus Wine Holder 7.5 Inch Tall Tabletop Bar Counter Decorative Sculpture [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-06-08T19:41:28.901Z","Retail","B0CQ8PDR5G","Safer Home SH506 Trap Refill Pack of Glue Cards for SH502 Indoor Fly Trap, 6 Count (Pack of 1) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
"2025-06-07T04:06:23.615Z","Retail","B003GADB02","Honest Kids Organic Juice Drink, Berry Berry Good Lemonade, 6.75 Fl Oz Pouches (Pack of 32) [Product name associated with ASIN]","Not Applicable","saved","1","Yes","No","No","No","No"
