order id,replacement order id
112-5046612-7331411,No Replacement Order ID
114-2218406-9708209,No Replacement Order ID
114-0944160-7080229,No Replacement Order ID
111-9135210-7785858,No Replacement Order ID
114-2196108-6567454,No Replacement Order ID
114-2196108-6567454,No Replacement Order ID
114-3720200-3567430,No Replacement Order ID
114-5088663-8965029,No Replacement Order ID
114-8812198-2022631,No Replacement Order ID
113-2645582-9095450,No Replacement Order ID
114-9189914-3168249,No Replacement Order ID
113-2645582-9095450,No Replacement Order ID
114-9189914-3168249,No Replacement Order ID
113-2645582-9095450,No Replacement Order ID
114-9189914-3168249,No Replacement Order ID
113-2645582-9095450,No Replacement Order ID
114-9189914-3168249,No Replacement Order ID
114-9967075-3765028,No Replacement Order ID
114-8812198-2022631,No Replacement Order ID
114-9967075-3765028,No Replacement Order ID
114-0307285-1608239,No Replacement Order ID
114-2998049-6241822,No Replacement Order ID
114-5107881-1748242,No Replacement Order ID
112-6662253-7303428,No Replacement Order ID
114-5107881-1748242,No Replacement Order ID
112-6662253-7303428,No Replacement Order ID
113-7146672-1732202,No Replacement Order ID
112-6662253-7303428,No Replacement Order ID
112-8372017-2587408,No Replacement Order ID
111-1914396-9713821,No Replacement Order ID
111-8171015-7109053,113-5376204-8467432
114-0484958-5973830,No Replacement Order ID
114-4199493-7414601,113-3737530-4537867
112-3883101-2169827,No Replacement Order ID
114-1883807-3614636,113-5911188-8145056
112-3013814-1676222,No Replacement Order ID
112-8372017-2587408,No Replacement Order ID
112-1415830-0522620,No Replacement Order ID
114-2285776-5712207,No Replacement Order ID
114-5107881-1748242,No Replacement Order ID
114-1642531-9437008,No Replacement Order ID
114-5107881-1748242,No Replacement Order ID
114-1642531-9437008,No Replacement Order ID
114-5241100-5865812,113-9064385-8886635
114-2285776-5712207,No Replacement Order ID
114-1009939-8015429,No Replacement Order ID
114-2218406-9708209,No Replacement Order ID
114-1684568-5747466,No Replacement Order ID
111-6297946-1694645,No Replacement Order ID
112-5793683-5065034,No Replacement Order ID
113-2645582-9095450,No Replacement Order ID
112-3013814-1676222,No Replacement Order ID
112-5046612-7331411,No Replacement Order ID
114-2196108-6567454,No Replacement Order ID
112-3013814-1676222,No Replacement Order ID
112-5046612-7331411,No Replacement Order ID
113-2645582-9095450,No Replacement Order ID
D01-8586918-7984263,No Replacement Order ID
114-3720200-3567430,No Replacement Order ID
114-5088663-8965029,No Replacement Order ID
114-2196108-6567454,No Replacement Order ID
114-5088663-8965029,No Replacement Order ID
111-7092937-1019420,No Replacement Order ID
114-5088663-8965029,No Replacement Order ID
112-2565788-0415436,No Replacement Order ID
114-6055824-0117836,No Replacement Order ID
111-3270590-2536216,No Replacement Order ID
114-1883807-3614636,113-5911188-8145056
111-3270590-2536216,No Replacement Order ID
114-8812198-2022631,No Replacement Order ID
111-3270590-2536216,No Replacement Order ID
112-3318741-6425006,No Replacement Order ID
111-3270590-2536216,No Replacement Order ID
111-8319439-3165045,No Replacement Order ID
111-9135210-7785858,No Replacement Order ID
114-9416760-1465809,No Replacement Order ID
114-2951599-9408203,No Replacement Order ID
114-9416760-1465809,No Replacement Order ID
112-1110453-5154655,No Replacement Order ID
113-0772213-1941816,No Replacement Order ID
114-7263754-7657045,No Replacement Order ID
114-5740981-7330603,No Replacement Order ID
114-5740981-7330603,No Replacement Order ID
112-2674729-8025828,No Replacement Order ID
112-7652657-1371437,No Replacement Order ID
114-1883807-3614636,113-5911188-8145056
112-7652657-1371437,No Replacement Order ID
114-1883807-3614636,113-5911188-8145056
111-4704866-6309842,No Replacement Order ID
114-9967075-3765028,No Replacement Order ID
114-8812198-2022631,No Replacement Order ID
114-9967075-3765028,No Replacement Order ID
112-4814229-1889063,No Replacement Order ID
114-9967075-3765028,No Replacement Order ID
114-9967075-3765028,No Replacement Order ID
114-9967075-3765028,No Replacement Order ID
114-9967075-3765028,No Replacement Order ID
114-2998049-6241822,No Replacement Order ID
